,request_time,edge,response_code
0,53.609636,cloud,200
1,38.313137,cloud,200
2,40.068624,cloud,200
3,38.109036,cloud,200
4,38.681084,cloud,200
5,40.941834,cloud,200
6,37.599479,cloud,200
7,37.457793,cloud,200
8,39.06441,cloud,200
9,38.287761,cloud,200
10,38.959287,cloud,200
11,38.271659,cloud,200
12,41.413511,cloud,200
13,37.0166,cloud,200
14,36.103785,cloud,200
15,38.485356,cloud,200
16,37.12724,cloud,200
17,35.653047,cloud,200
18,40.406601,cloud,200
19,36.630135,cloud,200
20,37.405481,cloud,200
21,39.863758,cloud,200
22,40.017937,cloud,200
23,36.503946,cloud,200
24,40.600315,cloud,200
25,36.791769,cloud,200
26,37.541898,cloud,200
27,39.871747,cloud,200
28,36.806299,cloud,200
29,38.089109,cloud,200
30,37.779172,cloud,200
31,38.014271,cloud,200
32,41.582258,cloud,200
33,36.657902,cloud,200
34,35.965235,cloud,200
35,37.703575,cloud,200
36,37.582361,cloud,200
37,38.67843,cloud,200
38,38.358331,cloud,200
39,38.726876,cloud,200
40,38.57212,cloud,200
41,40.197021,cloud,200
42,38.19795,cloud,200
43,36.273082,cloud,200
44,38.749716,cloud,200
45,37.757528,cloud,200
46,43.516695,cloud,200
47,37.206784,cloud,200
48,37.855204,cloud,200
49,37.178016,cloud,200
50,39.975277,cloud,200
51,40.566462,cloud,200
52,38.583511,cloud,200
53,38.522477,cloud,200
54,36.655886,cloud,200
55,40.000501,cloud,200
56,36.137994,cloud,200
57,38.035549,cloud,200
58,36.751742,cloud,200
59,39.697541,cloud,200
60,37.260465,cloud,200
61,38.315808,cloud,200
62,39.287713,cloud,200
63,36.966315,cloud,200
64,37.4974,cloud,200
65,36.815221,cloud,200
66,35.912702,cloud,200
67,37.175352,cloud,200
68,37.715353,cloud,200
69,37.025785,cloud,200
70,38.873709,cloud,200
71,38.627451,cloud,200
72,36.591034,cloud,200
73,40.125465,cloud,200
74,37.317599,cloud,200
75,39.609628,cloud,200
76,38.460513,cloud,200
77,36.765562,cloud,200
78,47.880508,cloud,200
79,38.48924,cloud,200
80,36.297797,cloud,200
81,38.924722,cloud,200
82,38.924429,cloud,200
83,36.64894,cloud,200
84,45.790645,cloud,200
85,39.953364,cloud,200
86,38.214857,cloud,200
87,38.464312,cloud,200
88,36.429107,cloud,200
89,36.565819,cloud,200
90,39.101096,cloud,200
91,38.576646,cloud,200
92,37.336843,cloud,200
93,36.810426,cloud,200
94,37.776927,cloud,200
95,38.476643,cloud,200
96,35.954363,cloud,200
97,37.271086,cloud,200
98,36.552693,cloud,200
99,35.802521,cloud,200
100,37.418645,cloud,200
101,39.894353,cloud,200
102,37.634534,cloud,200
103,36.557279,cloud,200
104,36.826688,cloud,200
105,40.002388,cloud,200
106,37.473634,cloud,200
107,38.30372,cloud,200
108,37.902219,cloud,200
109,38.818066,cloud,200
110,37.776916,cloud,200
111,37.694007,cloud,200
112,35.362759,cloud,200
113,35.165677,cloud,200
114,37.63237,cloud,200
115,38.597054,cloud,200
116,39.201497,cloud,200
117,38.658937,cloud,200
118,38.020052,cloud,200
119,35.264043,cloud,200
120,39.910889,cloud,200
121,37.046427,cloud,200
122,39.547162,cloud,200
123,39.968011,cloud,200
124,40.422594,cloud,200
125,36.661763,cloud,200
126,36.404051,cloud,200
127,37.643111,cloud,200
128,34.861482,cloud,200
129,37.849977,cloud,200
130,37.83559,cloud,200
131,43.423347,cloud,200
132,39.053508,cloud,200
133,41.336011,cloud,200
134,37.543075,cloud,200
135,38.315026,cloud,200
136,36.922759,cloud,200
137,38.181688,cloud,200
138,37.586017,cloud,200
139,37.057628,cloud,200
140,37.285537,cloud,200
141,35.587396,cloud,200
142,36.730264,cloud,200
143,37.570007,cloud,200
144,36.570196,cloud,200
145,37.985936,cloud,200
146,39.102731,cloud,200
147,38.556003,cloud,200
148,40.607978,cloud,200
149,38.215007,cloud,200
150,39.497906,cloud,200
151,39.567856,cloud,200
152,38.126873,cloud,200
153,39.195188,cloud,200
154,36.190371,cloud,200
155,39.52873,cloud,200
156,41.764042,cloud,200
157,37.099446,cloud,200
158,40.259575,cloud,200
159,38.533383,cloud,200
160,38.57434,cloud,200
161,38.825578,cloud,200
162,37.223338,cloud,200
163,39.001822,cloud,200
