15,0,70,0,4,1
24,0,70,0,4,12
5,0,52,0,1,1
6,0,54,0,4,1
5,0,62,0,11,1
29,0,52,0,2,1
4,0,52,0,2,4
5,0,55,0,2,1
4,0,59,0,1,1
5,0,65,0,1,2
5,0,47,0,3,2
4,0,54,0,4,1
6,0,70,0,2,1
5,0,58,0,3,8
8,0,54,0,1,1
5,0,56,0,2,2
12,0,52,0,1,1
8,0,53,0,1,0
4,0,48,0,0,1
7,0,62,0,2,2
4,0,47,0,3,2
5,0,51,0,1,0
5,0,54,0,1,2
6,0,64,0,0,1
4,0,49,0,1,0
4,0,51,0,1,0
4,0,54,0,5,1
5,0,56,0,1,1
4,0,50,0,1,0
5,0,50,0,1,0
4,0,48,0,1,1
3,0,54,0,1,1
4,0,50,0,1,1
4,0,47,0,1,1
6,0,47,0,1,1
13,0,50,0,1,1
4,0,58,0,2,1
3,0,55,0,2,2
9,0,53,0,1,2
3,0,48,0,1,0
4,0,48,0,1,0
3,0,55,0,1,0
7,0,47,0,3,0
5,0,52,0,1,1
4,0,51,0,1,1
6,0,48,0,1,0
4,0,53,0,1,1
4,0,59,0,3,0
8,0,43,0,1,1
4,0,55,0,1,0
3,0,49,0,1,0
4,0,50,0,0,1
5,0,53,0,1,1
4,0,62,0,2,1
4,0,55,0,1,1
4,0,50,0,1,1
4,0,50,0,1,0
9,0,48,0,1,1
3,0,48,0,2,1
4,0,64,0,2,1
4,0,58,0,1,1
4,0,53,0,1,1
9,0,52,0,1,0
4,0,50,0,2,0
4,0,51,0,1,1
4,0,44,0,1,0
5,0,54,0,1,1
4,0,49,0,1,1
11,0,48,0,2,1
4,0,56,0,0,1
9,0,47,0,4,0
5,0,54,0,1,2
4,0,47,0,1,1
7,0,51,0,1,1
20,0,51,0,1,1
3,0,51,0,0,1
6,0,47,0,0,1
4,0,51,0,1,0
23,0,52,0,2,0
4,0,51,0,0,1
5,0,46,0,1,0
3,0,52,0,0,1
4,0,45,0,0,1
4,0,46,0,10,1
3,0,63,0,2,0
4,0,47,0,1,1
4,0,53,0,1,1
3,0,52,0,1,0
4,0,55,0,0,1
5,0,50,0,2,0
4,0,48,0,1,0
4,0,49,0,1,0
4,0,58,0,1,1
4,0,48,0,1,0
4,0,53,0,1,1
6,0,55,0,1,1
4,0,54,0,9,1
4,0,56,0,1,0
4,0,47,0,1,0
3,0,53,0,0,1
4,0,61,0,1,1
4,0,51,0,1,0
4,0,53,0,1,1
4,0,50,0,1,1
5,0,57,0,1,1
4,0,44,0,1,0
3,0,64,0,0,0
4,0,60,0,0,1
12,0,61,0,1,1
4,0,65,0,0,2
4,0,50,0,1,2
3,0,48,0,0,1
4,0,55,0,1,0
9,0,46,0,0,1
5,0,49,0,1,1
3,0,46,0,1,1
