-2,7
39,1
-84,6
-145,3
-84,5
-225,3
-56,2
12,1
-175,2
-63,3
-51,2
2,3
3,6
2,2
2,3
3,2
-1,2
2,2
-1,2
1,2
1,2
3,4
2,3
2,1
1,1
2,1
2,2
-1,2
1,1
1,3
1,4
2,3
1,1
2,1
2,1
1,2
1,1
1,1
1,1
2,1
2,2
2,4
2,1
2,2
2,1
2,1
1,5
2,2
1,1
3,2
1,1
2,3
1,2
2,2
1,2
2,2
2,2
2,2
2,5
2,4
2,1
2,2
1,3
5,1
2,2
1,1
1,1
2,3
1,3
2,2
2,1
2,1
2,2
2,2
1,1
2,1
2,3
1,4
1,2
2,3
3,2
2,1
2,2
2,2
2,5
2,1
1,2
2,3
1,2
1,3
2,1
3,2
2,2
1,2
2,1
2,3
1,2
2,3
1,2
2,2
2,3
3,4
1,4
1,2
1,1
4,2
2,2
1,2
1,3
2,2
2,1
2,2
1,2
3,1
2,2
2,2
1,2
2,3
2,1
2,2
2,2
3,2
1,2
2,3
