2,105,6
1,138,7
1,137,3
1,113,1
2,118,2
0,151,2
1,122,3
2,143,2
1,120,1
0,125,2
0,122,3
1,132,1
0,144,1
1,130,1
4,168,13
1,131,3
1,121,2
0,128,2
0,100,1
2,112,1
0,142,2
2,125,2
0,125,1
0,134,2
1,138,2
1,124,2
1,125,3
0,125,2
1,112,1
0,113,1
0,129,3
0,119,3
0,125,1
0,122,2
1,159,2
1,121,1
0,154,1
0,133,2
1,133,3
0,153,6
0,96,2
0,103,1
0,121,1
1,159,3
1,110,1
1,151,2
0,122,4
0,118,1
1,148,2
1,109,1
0,116,1
0,170,1
0,140,1
0,133,2
0,135,2
1,120,2
1,117,6
0,143,8
1,116,4
1,116,2
0,121,1
0,120,1
1,103,2
1,143,1
1,139,1
1,128,1
1,120,2
0,127,2
0,132,1
1,146,2
1,129,2
0,125,4
1,137,6
1,110,10
0,118,2
1,115,1
1,130,1
1,113,1
2,145,2
0,134,1
1,123,1
0,117,1
1,154,6
1,147,1
1,124,1
0,124,1
1,111,1
0,124,1
1,116,2
0,109,1
0,132,2
1,135,1
0,108,1
0,128,1
1,132,0
0,118,1
0,119,1
1,126,1
1,129,1
0,129,2
0,109,2
1,122,2
1,122,1
0,112,4
0,118,1
1,121,1
1,141,4
0,154,1
1,115,1
1,124,2
0,139,2
0,125,2
1,123,1
0,109,3
1,126,1
1,116,1
