2,7,1562,6,0
1,3,1365,6,0
1,6,1620,4,0
0,2,1333,7,0
0,3,1355,3,0
1,5,1302,3,0
1,2,1953,2,0
1,2,1364,4,1
1,6,1396,4,0
1,3,1313,3,0
0,2,2594,2,0
0,5,1582,4,0
0,2,1514,1,0
0,1,1357,2,0
1,1,1677,1,0
1,2,1317,9,1
0,2,1444,3,0
1,2,1499,1,0
1,1,1362,3,0
0,1,1372,11,0
1,1,1400,1,0
1,2,2124,3,0
1,1,1371,7,0
0,2,1318,13,0
1,3,1359,10,0
0,2,1381,2,0
0,1,1270,2,0
0,1,1485,2,0
1,2,1917,1,0
0,2,1333,1,0
1,0,1384,6,0
1,1,1546,2,0
0,1,1253,1,0
0,1,1323,6,0
0,1,1336,1,0
0,1,1915,2,0
1,1,1380,1,0
0,1,1349,1,0
1,8,1443,2,0
0,2,1253,1,0
