1,2774,6
0,3475,0
1,2823,2
0,3090,1
1,2731,1
0,3148,1
1,2557,2
1,3259,1
1,3309,1
1,2720,1
1,3298,1
0,2817,2
1,3009,9
1,2632,4
0,3391,2
1,2717,1
1,3350,2
1,3409,1
1,3067,1
1,5120,2
0,2529,1
0,3207,10
0,3413,1
1,3082,1
1,2797,1
1,2773,2
0,2548,1
1,2786,2
0,2592,2
3,2600,2
0,3368,1
1,2646,2
1,3349,1
0,2823,1
1,3078,1
0,2880,1
0,2846,1
0,4430,1
1,2613,11
0,2852,1
0,3571,1
0,2876,2
0,2693,1
1,3741,3
1,3535,2
0,2893,3
0,2801,1
1,3204,1
0,2805,5
1,3146,2
1,3187,1
2,2898,1
1,2680,1
1,2851,2
3,3661,2
1,2711,1
0,3122,1
1,2487,3
1,2618,1
1,2544,2
0,2909,3
0,3061,1
0,2690,0
0,3112,2
1,2561,1
0,3111,1
1,2477,1
0,3207,8
1,2512,1
0,3052,2
0,2885,3
0,3247,2
0,2891,2
0,3584,1
1,3337,1
1,2511,1
0,2760,1
1,4171,1
1,2737,1
0,3029,2
0,2530,1
0,2988,2
0,3350,2
1,2740,1
0,3365,0
0,3013,1
1,2886,1
1,3750,1
0,2470,1
2,3140,1
0,3086,1
0,2777,2
0,3110,4
0,2621,1
0,2716,1
1,2892,1
1,2408,1
0,2617,1
1,2550,1
1,3830,1
