3,96,19
0,136,6
0,136,7
0,118,4
1,174,7
1,132,5
2,139,5
0,158,5
0,125,4
0,132,6
0,134,6
0,142,4
2,134,7
8,135,4
1,154,4
0,115,5
1,127,7
0,159,14
1,166,6
0,131,12
0,130,6
0,154,6
1,129,7
0,134,7
3,129,4
0,156,7
0,128,12
1,141,6
0,129,6
0,112,5
0,143,6
0,120,6
0,158,5
0,146,9
1,131,4
1,159,4
0,138,6
0,144,5
0,135,16
0,125,4
0,130,5
0,119,9
1,140,4
0,124,6
0,131,3
0,138,5
0,129,5
0,136,5
1,120,4
0,127,4
0,127,4
0,123,5
1,155,4
0,127,7
1,126,4
1,149,4
0,119,6
0,123,5
0,131,4
1,161,4
2,145,11
0,124,10
0,123,4
0,123,4
0,146,8
0,124,9
0,131,5
0,132,4
0,153,5
1,175,6
0,128,15
1,136,6
1,174,4
1,130,5
1,134,4
1,114,4
0,126,4
0,118,4
1,126,6
0,142,6
0,122,5
0,130,5
0,144,6
1,144,4
1,128,4
1,130,5
0,154,3
1,129,11
0,145,8
0,122,6
0,133,8
0,137,4
1,128,11
1,130,11
0,149,5
0,128,6
0,155,4
1,129,9
0,133,5
1,155,6
0,121,5
1,155,5
0,132,5
0,124,5
0,139,6
1,135,6
1,147,4
0,132,13
0,149,6
1,157,5
0,129,5
0,136,5
0,139,10
0,136,6
0,159,6
0,130,5
1,159,5
