2,83,39
1,197,14
0,137,9
0,134,9
1,147,9
1,139,8
0,140,16
0,135,8
0,132,9
0,157,8
0,154,8
0,143,9
0,143,9
0,120,8
1,122,7
0,126,10
0,128,21
1,150,15
0,151,12
0,152,9
1,137,11
0,133,8
0,133,7
0,130,7
0,154,11
1,134,17
0,143,11
1,150,9
0,151,9
1,147,10
1,141,9
0,139,7
0,150,10
1,125,14
0,145,10
0,127,9
0,157,17
0,129,10
0,163,9
0,136,14
0,127,12
1,123,8
0,125,9
0,139,11
0,140,10
0,121,6
1,140,11
0,151,8
1,159,10
0,157,8
0,169,9
0,143,8
0,151,7
0,131,7
1,116,7
0,142,8
0,150,8
1,122,13
1,132,10
0,125,9
0,120,7
0,119,9
0,139,10
1,157,10
1,139,15
1,127,10
0,139,9
1,137,8
0,129,7
1,130,8
0,149,15
1,128,8
0,138,9
0,139,7
0,145,10
0,133,9
0,128,9
0,127,8
0,128,8
0,127,7
0,142,7
1,150,10
1,121,8
0,138,19
0,141,8
0,140,8
0,142,8
0,135,7
0,131,14
0,140,7
0,137,11
1,133,7
0,134,10
0,150,19
0,140,17
1,161,10
0,154,15
0,139,9
0,128,8
0,133,9
0,139,8
0,117,11
0,163,8
0,131,14
0,146,9
0,171,9
1,132,10
0,146,8
0,153,12
0,150,14
1,154,7
0,159,8
1,157,10
0,127,8
1,134,17
